
 MATERIAL 1 ABSORPTION SPECTRA IS NOT SPECIFIED
 MATERIAL 2 ABSORPTION SPECTRA IS NOT SPECIFIED
 MATERIAL 3 ABSORPTION SPECTRA IS NOT SPECIFIED
 MATERIAL 5 ABSORPTION SPECTRA IS NOT SPECIFIED
 MATERIAL 6 ABSORPTION SPECTRA IS NOT SPECIFIED
 MATERIAL 8 ABSORPTION SPECTRA IS NOT SPECIFIED
 MATERIAL 9 ABSORPTION SPECTRA IS NOT SPECIFIED
 MATERIAL 10 ABSORPTION SPECTRA IS NOT SPECIFIED
 MATERIAL 11 ABSORPTION SPECTRA IS NOT SPECIFIED
 MATERIAL 12 ABSORPTION SPECTRA IS NOT SPECIFIED
 MATERIAL 13 ABSORPTION SPECTRA IS NOT SPECIFIED
 MAXIMUM PHOTO CURRENT   =    69.0018856416075       mA/CM^2
 INCIDENT LIGHT POWER    =    100.037063030195       mW/CM^2
 ABSORBED LIGHT POWER  =    43.9880988560557       mW/CM^2
 INPUT PHOTO CURRENT   =    19.0607642171741       mA/CM^2
     TSRS (MA)      TGTE (MA)      TDRN (MA)      T4EL (MA)      T5EL (MA) 
   5.181067E+02   0.000000E+00  -5.181067E+02   0.000000E+00   0.000000E+00
   7.896315E+01   0.000000E+00  -7.896315E+01   0.000000E+00   0.000000E+00
   6.405475E+01   0.000000E+00  -6.405475E+01   0.000000E+00   0.000000E+00
   5.197781E+01   0.000000E+00  -5.197781E+01   0.000000E+00   0.000000E+00
   4.218150E+01   0.000000E+00  -4.218150E+01   0.000000E+00   0.000000E+00
   3.422933E+01   0.000000E+00  -3.422933E+01   0.000000E+00   0.000000E+00
   2.777101E+01   0.000000E+00  -2.777101E+01   0.000000E+00   0.000000E+00
   2.252418E+01   0.000000E+00  -2.252418E+01   0.000000E+00   0.000000E+00
   1.826063E+01   0.000000E+00  -1.826063E+01   0.000000E+00   0.000000E+00
   1.356774E+01   0.000000E+00  -1.356774E+01   0.000000E+00   0.000000E+00
  -1.176004E+02   0.000000E+00   1.176004E+02   0.000000E+00   0.000000E+00
  -2.026030E+02   0.000000E+00   2.026030E+02   0.000000E+00   0.000000E+00
  -2.151988E+02   0.000000E+00   2.151988E+02   0.000000E+00   0.000000E+00
  -2.226272E+02   0.000000E+00   2.226272E+02   0.000000E+00   0.000000E+00
  -2.301824E+02   0.000000E+00   2.301824E+02   0.000000E+00   0.000000E+00
  -2.361646E+02   0.000000E+00   2.361646E+02   0.000000E+00   0.000000E+00
  -2.407858E+02   0.000000E+00   2.407858E+02   0.000000E+00   0.000000E+00
  -2.444471E+02   0.000000E+00   2.444471E+02   0.000000E+00   0.000000E+00
  -2.474323E+02   0.000000E+00   2.474323E+02   0.000000E+00   0.000000E+00
  -2.499479E+02   0.000000E+00   2.499479E+02   0.000000E+00   0.000000E+00
  -2.521459E+02   0.000000E+00   2.521459E+02   0.000000E+00   0.000000E+00
  -2.541397E+02   0.000000E+00   2.541397E+02   0.000000E+00   0.000000E+00
  -2.560145E+02   0.000000E+00   2.560145E+02   0.000000E+00   0.000000E+00
  -2.578345E+02   0.000000E+00   2.578345E+02   0.000000E+00   0.000000E+00
  -2.596491E+02   0.000000E+00   2.596491E+02   0.000000E+00   0.000000E+00
  -2.614960E+02   0.000000E+00   2.614960E+02   0.000000E+00   0.000000E+00
  -2.634044E+02   0.000000E+00   2.634044E+02   0.000000E+00   0.000000E+00
  -2.653973E+02   0.000000E+00   2.653973E+02   0.000000E+00   0.000000E+00
  -2.674926E+02   0.000000E+00   2.674926E+02   0.000000E+00   0.000000E+00
  -2.697045E+02   0.000000E+00   2.697045E+02   0.000000E+00   0.000000E+00
  -2.720439E+02   0.000000E+00   2.720439E+02   0.000000E+00   0.000000E+00
  -2.745188E+02   0.000000E+00   2.745188E+02   0.000000E+00   0.000000E+00
  -2.771346E+02   0.000000E+00   2.771346E+02   0.000000E+00   0.000000E+00
  -2.798941E+02   0.000000E+00   2.798941E+02   0.000000E+00   0.000000E+00
  -2.827973E+02   0.000000E+00   2.827973E+02   0.000000E+00   0.000000E+00
  -2.858412E+02   0.000000E+00   2.858412E+02   0.000000E+00   0.000000E+00
  -2.890197E+02   0.000000E+00   2.890197E+02   0.000000E+00   0.000000E+00
  -2.923237E+02   0.000000E+00   2.923237E+02   0.000000E+00   0.000000E+00
  -2.957409E+02   0.000000E+00   2.957409E+02   0.000000E+00   0.000000E+00
  -2.992495E+02   0.000000E+00   2.992495E+02   0.000000E+00   0.000000E+00
  -3.028140E+02   0.000000E+00   3.028140E+02   0.000000E+00   0.000000E+00
  -3.063988E+02   0.000000E+00   3.063988E+02   0.000000E+00   0.000000E+00
  -3.099678E+02   0.000000E+00   3.099678E+02   0.000000E+00   0.000000E+00
  -3.134867E+02   0.000000E+00   3.134867E+02   0.000000E+00   0.000000E+00
  -3.169268E+02   0.000000E+00   3.169268E+02   0.000000E+00   0.000000E+00
  -3.202647E+02   0.000000E+00   3.202647E+02   0.000000E+00   0.000000E+00
  -3.234837E+02   0.000000E+00   3.234837E+02   0.000000E+00   0.000000E+00
  -3.265690E+02   0.000000E+00   3.265690E+02   0.000000E+00   0.000000E+00
  -3.295152E+02   0.000000E+00   3.295152E+02   0.000000E+00   0.000000E+00
  -3.323176E+02   0.000000E+00   3.323176E+02   0.000000E+00   0.000000E+00
  -3.349739E+02   0.000000E+00   3.349739E+02   0.000000E+00   0.000000E+00
  -3.374839E+02   0.000000E+00   3.374839E+02   0.000000E+00   0.000000E+00
  -3.398494E+02   0.000000E+00   3.398494E+02   0.000000E+00   0.000000E+00
  -3.420738E+02   0.000000E+00   3.420738E+02   0.000000E+00   0.000000E+00
  -3.441551E+02   0.000000E+00   3.441551E+02   0.000000E+00   0.000000E+00
  -3.461006E+02   0.000000E+00   3.461006E+02   0.000000E+00   0.000000E+00
  -3.479111E+02   0.000000E+00   3.479111E+02   0.000000E+00   0.000000E+00
  -3.495919E+02   0.000000E+00   3.495919E+02   0.000000E+00   0.000000E+00
  -3.511426E+02   0.000000E+00   3.511426E+02   0.000000E+00   0.000000E+00
  -3.525713E+02   0.000000E+00   3.525713E+02   0.000000E+00   0.000000E+00
  -3.538788E+02   0.000000E+00   3.538788E+02   0.000000E+00   0.000000E+00
  -3.550672E+02   0.000000E+00   3.550672E+02   0.000000E+00   0.000000E+00
  -3.561431E+02   0.000000E+00   3.561431E+02   0.000000E+00   0.000000E+00
  -3.571101E+02   0.000000E+00   3.571101E+02   0.000000E+00   0.000000E+00
  -3.579715E+02   0.000000E+00   3.579715E+02   0.000000E+00   0.000000E+00
  -3.587289E+02   0.000000E+00   3.587289E+02   0.000000E+00   0.000000E+00
  -3.593865E+02   0.000000E+00   3.593865E+02   0.000000E+00   0.000000E+00
  -3.599490E+02   0.000000E+00   3.599490E+02   0.000000E+00   0.000000E+00
  -3.604201E+02   0.000000E+00   3.604201E+02   0.000000E+00   0.000000E+00
  -3.608032E+02   0.000000E+00   3.608032E+02   0.000000E+00   0.000000E+00
  -3.611017E+02   0.000000E+00   3.611017E+02   0.000000E+00   0.000000E+00
  -3.613188E+02   0.000000E+00   3.613188E+02   0.000000E+00   0.000000E+00
  -3.614579E+02   0.000000E+00   3.614579E+02   0.000000E+00   0.000000E+00
  -3.615223E+02   0.000000E+00   3.615223E+02   0.000000E+00   0.000000E+00
  -3.615151E+02   0.000000E+00   3.615151E+02   0.000000E+00   0.000000E+00
  -3.614395E+02   0.000000E+00   3.614395E+02   0.000000E+00   0.000000E+00
  -3.612985E+02   0.000000E+00   3.612985E+02   0.000000E+00   0.000000E+00
  -3.610944E+02   0.000000E+00   3.610944E+02   0.000000E+00   0.000000E+00
  -3.608287E+02   0.000000E+00   3.608287E+02   0.000000E+00   0.000000E+00
  -3.605058E+02   0.000000E+00   3.605058E+02   0.000000E+00   0.000000E+00
  -3.601286E+02   0.000000E+00   3.601286E+02   0.000000E+00   0.000000E+00
  -3.596999E+02   0.000000E+00   3.596999E+02   0.000000E+00   0.000000E+00
  -3.592224E+02   0.000000E+00   3.592224E+02   0.000000E+00   0.000000E+00
  -3.586978E+02   0.000000E+00   3.586978E+02   0.000000E+00   0.000000E+00
  -3.581260E+02   0.000000E+00   3.581260E+02   0.000000E+00   0.000000E+00
  -3.575122E+02   0.000000E+00   3.575122E+02   0.000000E+00   0.000000E+00
  -3.568591E+02   0.000000E+00   3.568591E+02   0.000000E+00   0.000000E+00
  -3.561686E+02   0.000000E+00   3.561686E+02   0.000000E+00   0.000000E+00
  -3.554392E+02   0.000000E+00   3.554392E+02   0.000000E+00   0.000000E+00
  -3.546767E+02   0.000000E+00   3.546767E+02   0.000000E+00   0.000000E+00
  -3.538839E+02   0.000000E+00   3.538839E+02   0.000000E+00   0.000000E+00
  -3.530579E+02   0.000000E+00   3.530579E+02   0.000000E+00   0.000000E+00
  -3.522047E+02   0.000000E+00   3.522047E+02   0.000000E+00   0.000000E+00
  -3.513258E+02   0.000000E+00   3.513258E+02   0.000000E+00   0.000000E+00
  -3.504203E+02   0.000000E+00   3.504203E+02   0.000000E+00   0.000000E+00
  -3.494938E+02   0.000000E+00   3.494938E+02   0.000000E+00   0.000000E+00
  -3.485436E+02   0.000000E+00   3.485436E+02   0.000000E+00   0.000000E+00
  -3.475753E+02   0.000000E+00   3.475753E+02   0.000000E+00   0.000000E+00
  -3.465873E+02   0.000000E+00   3.465873E+02   0.000000E+00   0.000000E+00
  -3.455843E+02   0.000000E+00   3.455843E+02   0.000000E+00   0.000000E+00
  -3.445639E+02   0.000000E+00   3.445639E+02   0.000000E+00   0.000000E+00
  -3.435310E+02   0.000000E+00   3.435310E+02   0.000000E+00   0.000000E+00
  -3.424851E+02   0.000000E+00   3.424851E+02   0.000000E+00   0.000000E+00
  -3.414276E+02   0.000000E+00   3.414276E+02   0.000000E+00   0.000000E+00
  -3.403606E+02   0.000000E+00   3.403606E+02   0.000000E+00   0.000000E+00
  -3.392852E+02   0.000000E+00   3.392852E+02   0.000000E+00   0.000000E+00
  -3.382017E+02   0.000000E+00   3.382017E+02   0.000000E+00   0.000000E+00
  -3.371112E+02   0.000000E+00   3.371112E+02   0.000000E+00   0.000000E+00
  -3.360153E+02   0.000000E+00   3.360153E+02   0.000000E+00   0.000000E+00
  -3.349146E+02   0.000000E+00   3.349146E+02   0.000000E+00   0.000000E+00
  -3.338094E+02   0.000000E+00   3.338094E+02   0.000000E+00   0.000000E+00
  -3.327012E+02   0.000000E+00   3.327012E+02   0.000000E+00   0.000000E+00
  -3.315903E+02   0.000000E+00   3.315903E+02   0.000000E+00   0.000000E+00
  -3.304768E+02   0.000000E+00   3.304768E+02   0.000000E+00   0.000000E+00
  -3.293601E+02   0.000000E+00   3.293601E+02   0.000000E+00   0.000000E+00
  -3.282399E+02   0.000000E+00   3.282399E+02   0.000000E+00   0.000000E+00
  -3.271088E+02   0.000000E+00   3.271088E+02   0.000000E+00   0.000000E+00
  -3.259365E+02   0.000000E+00   3.259365E+02   0.000000E+00   0.000000E+00
  -3.247458E+02   0.000000E+00   3.247458E+02   0.000000E+00   0.000000E+00
  -3.235772E+02   0.000000E+00   3.235772E+02   0.000000E+00   0.000000E+00
  -3.224350E+02   0.000000E+00   3.224350E+02   0.000000E+00   0.000000E+00
  -3.213192E+02   0.000000E+00   3.213192E+02   0.000000E+00   0.000000E+00
  -3.202299E+02   0.000000E+00   3.202299E+02   0.000000E+00   0.000000E+00
  -3.191666E+02   0.000000E+00   3.191666E+02   0.000000E+00   0.000000E+00
  -3.181287E+02   0.000000E+00   3.181287E+02   0.000000E+00   0.000000E+00
  -3.171155E+02   0.000000E+00   3.171155E+02   0.000000E+00   0.000000E+00
  -3.161264E+02   0.000000E+00   3.161264E+02   0.000000E+00   0.000000E+00
  -3.151607E+02   0.000000E+00   3.151607E+02   0.000000E+00   0.000000E+00
  -3.142175E+02   0.000000E+00   3.142175E+02   0.000000E+00   0.000000E+00
  -3.132963E+02   0.000000E+00   3.132963E+02   0.000000E+00   0.000000E+00
  -3.123963E+02   0.000000E+00   3.123963E+02   0.000000E+00   0.000000E+00
  -3.115169E+02   0.000000E+00   3.115169E+02   0.000000E+00   0.000000E+00
  -3.106574E+02   0.000000E+00   3.106574E+02   0.000000E+00   0.000000E+00
  -3.098173E+02   0.000000E+00   3.098173E+02   0.000000E+00   0.000000E+00
  -3.089958E+02   0.000000E+00   3.089958E+02   0.000000E+00   0.000000E+00
  -3.081926E+02   0.000000E+00   3.081926E+02   0.000000E+00   0.000000E+00
  -3.074070E+02   0.000000E+00   3.074070E+02   0.000000E+00   0.000000E+00
  -3.066385E+02   0.000000E+00   3.066385E+02   0.000000E+00   0.000000E+00
  -3.058866E+02   0.000000E+00   3.058866E+02   0.000000E+00   0.000000E+00
  -3.051508E+02   0.000000E+00   3.051508E+02   0.000000E+00   0.000000E+00
  -3.044306E+02   0.000000E+00   3.044306E+02   0.000000E+00   0.000000E+00
  -3.037256E+02   0.000000E+00   3.037256E+02   0.000000E+00   0.000000E+00
  -3.030354E+02   0.000000E+00   3.030354E+02   0.000000E+00   0.000000E+00
  -3.023595E+02   0.000000E+00   3.023595E+02   0.000000E+00   0.000000E+00
  -3.016974E+02   0.000000E+00   3.016974E+02   0.000000E+00   0.000000E+00
  -3.010488E+02   0.000000E+00   3.010488E+02   0.000000E+00   0.000000E+00
  -3.004132E+02   0.000000E+00   3.004132E+02   0.000000E+00   0.000000E+00
  -2.997904E+02   0.000000E+00   2.997904E+02   0.000000E+00   0.000000E+00
  -2.991798E+02   0.000000E+00   2.991798E+02   0.000000E+00   0.000000E+00
  -2.985812E+02   0.000000E+00   2.985812E+02   0.000000E+00   0.000000E+00
  -2.979942E+02   0.000000E+00   2.979942E+02   0.000000E+00   0.000000E+00
  -2.974183E+02   0.000000E+00   2.974183E+02   0.000000E+00   0.000000E+00
  -2.968534E+02   0.000000E+00   2.968534E+02   0.000000E+00   0.000000E+00
  -2.962990E+02   0.000000E+00   2.962990E+02   0.000000E+00   0.000000E+00
  -2.957548E+02   0.000000E+00   2.957548E+02   0.000000E+00   0.000000E+00
  -2.952206E+02   0.000000E+00   2.952206E+02   0.000000E+00   0.000000E+00
  -2.946960E+02   0.000000E+00   2.946960E+02   0.000000E+00   0.000000E+00
  -2.941806E+02   0.000000E+00   2.941806E+02   0.000000E+00   0.000000E+00
  -2.936743E+02   0.000000E+00   2.936743E+02   0.000000E+00   0.000000E+00
  -2.931768E+02   0.000000E+00   2.931768E+02   0.000000E+00   0.000000E+00
  -2.926877E+02   0.000000E+00   2.926877E+02   0.000000E+00   0.000000E+00
  -2.922068E+02   0.000000E+00   2.922068E+02   0.000000E+00   0.000000E+00
  -2.917339E+02   0.000000E+00   2.917339E+02   0.000000E+00   0.000000E+00
  -2.912686E+02   0.000000E+00   2.912686E+02   0.000000E+00   0.000000E+00
  -2.908108E+02   0.000000E+00   2.908108E+02   0.000000E+00   0.000000E+00
  -2.903602E+02   0.000000E+00   2.903602E+02   0.000000E+00   0.000000E+00
  -2.899166E+02   0.000000E+00   2.899166E+02   0.000000E+00   0.000000E+00
  -2.894798E+02   0.000000E+00   2.894798E+02   0.000000E+00   0.000000E+00
  -2.890495E+02   0.000000E+00   2.890495E+02   0.000000E+00   0.000000E+00
  -2.886256E+02   0.000000E+00   2.886256E+02   0.000000E+00   0.000000E+00
  -2.882077E+02   0.000000E+00   2.882077E+02   0.000000E+00   0.000000E+00
  -2.877959E+02   0.000000E+00   2.877959E+02   0.000000E+00   0.000000E+00
  -2.873898E+02   0.000000E+00   2.873898E+02   0.000000E+00   0.000000E+00
  -2.869892E+02   0.000000E+00   2.869892E+02   0.000000E+00   0.000000E+00
  -2.865940E+02   0.000000E+00   2.865940E+02   0.000000E+00   0.000000E+00
  -2.862041E+02   0.000000E+00   2.862041E+02   0.000000E+00   0.000000E+00
  -2.858192E+02   0.000000E+00   2.858192E+02   0.000000E+00   0.000000E+00
  -2.854392E+02   0.000000E+00   2.854392E+02   0.000000E+00   0.000000E+00
  -2.850639E+02   0.000000E+00   2.850639E+02   0.000000E+00   0.000000E+00
  -2.846932E+02   0.000000E+00   2.846932E+02   0.000000E+00   0.000000E+00
  -2.843269E+02   0.000000E+00   2.843269E+02   0.000000E+00   0.000000E+00
  -2.839650E+02   0.000000E+00   2.839650E+02   0.000000E+00   0.000000E+00
  -2.836072E+02   0.000000E+00   2.836072E+02   0.000000E+00   0.000000E+00
  -2.832534E+02   0.000000E+00   2.832534E+02   0.000000E+00   0.000000E+00
  -2.829035E+02   0.000000E+00   2.829035E+02   0.000000E+00   0.000000E+00
  -2.825574E+02   0.000000E+00   2.825574E+02   0.000000E+00   0.000000E+00
  -2.822149E+02   0.000000E+00   2.822149E+02   0.000000E+00   0.000000E+00
  -2.818760E+02   0.000000E+00   2.818760E+02   0.000000E+00   0.000000E+00
  -2.815406E+02   0.000000E+00   2.815406E+02   0.000000E+00   0.000000E+00
  -2.812084E+02   0.000000E+00   2.812084E+02   0.000000E+00   0.000000E+00
  -2.808795E+02   0.000000E+00   2.808795E+02   0.000000E+00   0.000000E+00
  -2.805537E+02   0.000000E+00   2.805537E+02   0.000000E+00   0.000000E+00
  -2.802309E+02   0.000000E+00   2.802309E+02   0.000000E+00   0.000000E+00
  -2.799111E+02   0.000000E+00   2.799111E+02   0.000000E+00   0.000000E+00
  -2.795941E+02   0.000000E+00   2.795941E+02   0.000000E+00   0.000000E+00
  -2.792799E+02   0.000000E+00   2.792799E+02   0.000000E+00   0.000000E+00
  -2.789684E+02   0.000000E+00   2.789684E+02   0.000000E+00   0.000000E+00
  -2.786594E+02   0.000000E+00   2.786594E+02   0.000000E+00   0.000000E+00
