number   description                                                            df_col_name
     1   потенциал электрического поля, В
     2   концентрация электронов/10^17 (см^-3),
     3   концентрация дырок/10^17 (см^-3),
     4   средняя энергия газа электронов, эВ
     5   средняя энергия газа дырок, эВ
     6   X-компонента электрического поля, кВ/см
     7   Y-компонента электрического поля, кВ/см
     8   модуль электрического поля, кВ/см                                      fields
     9   X-компонента плотности тока электронов, А/см^2
    10   Y-компонента плотности тока электронов, А/см^2
    11   X-компонента плотности тока дырок, А/см^2
    12   Y-компонента плотности тока дырок, А/см^2
    13   мощность передаваемая решетке электронами, Вт/см^3
    14   мощность передаваемая решетке дырками, Вт/см^3
    15   суммарная мощность передаваемая носителями тока решетке, Вт/см^3
    16   энергия края зоны проводимости, эВ
    17   энергия края валентной зоны, эВ
    18   энергия квазиуровня Ферми электронов, эВ
    19   энергия квазиуровня Ферми дырок, эВ
    20   X-компонента скорости электронов, см/сек *
    21   Y-компонента скорости электронов, см/сек
    22   X-компонента скорости дырок, см/сек *
    23   Y-компонента скорости дырок, см/сек
